acl 2.3.1-2
nodejs-nativefier 49.0.0-1
nodejs-nopt 6.0.0-1
noto-fonts 20220607-1
noto-fonts-cjk 20220126-1
noto-fonts-emoji 20211101-1
noto-fonts-extra 20220607-1
npm 8.19.1-1
npth 1.6-3
nspr 4.34.1-1
nss 3.82-1
ocl-icd 2.3.1-1
oniguruma 6.9.8-1
openal 1.22.2-1
opencl-headers 2:2022.05.18-1
opencolorio 2.1.2-1
opencore-amr 0.1.6-1
openexr 3.1.5-1
openjpeg2 2.5.0-1
openmpi 4.1.4-2
openpmix 4.2.0-1
openssh 9.0p1-1
openssl 1.1.1.q-1
optipng 0.7.7-2
opus 1.3.1-3
orc 0.4.32-1
ostree 2022.5-4
p11-kit 0.24.1-1
pacman 6.0.1-7
pacman-mirrorlist 20220828-1
pahole 1:1.23-1
pam 1.5.2-1
pambase 20211210-1
pango 1:1.50.9-1
parted 3.5-1
patch 2.7.6-8
pciutils 3.8.0-2
pcmanfm 1.3.2-1
pcre 8.45-2
pcre2 10.40-1
perl 5.36.0-1
perl-error 0.17029-4
perl-mailtools 2.21-6
perl-timedate 2.33-4
pfetch 0.6.0-3
picom-ibhagwan-git 1578_Next.297.gc4107bb_2021.11.03-1
pinentry 1.2.0-1
pipewire 1:0.3.57-1
pixman 0.40.0-2
pkgconf 1.8.0-1
podofo 0.9.8-1
polkit 121-1
polybar 3.6.3-2
poppler 22.09.0-1
poppler-data 0.4.11-1
poppler-glib 22.09.0-1
popt 1.18-3
portaudio 1:19.7.0-1
portmidi 236-1
portsmf 234-2
procps-ng 3.3.17-1
protobuf 21.5-1
psmisc 23.5-1
pystring 1.1.3.git1-1
python 3.10.6-1
python-adblock 0.6.0-1
python-anytree 2.8.0-5
python-appdirs 1.4.4-7
python-apsw 3.38.5-1
python-argcomplete 2.0.0-1
python-async-timeout 4.0.2-1
python-attrs 22.1.0-1
python-autocommand 2.2.1-1
python-beautifulsoup4 4.11.1-1
python-brotli 1.0.9-8
python-brotlicffi 1.0.9.2-3
python-cachecontrol 1:0.12.11-1
python-cchardet 2.1.7-4
python-certifi 2022.06.15-1
python-cffi 1.15.1-1
python-chardet 5.0.0-1
python-click 8.1.3-1
python-colorama 0.4.5-1
python-commonmark 0.9.1-5
python-cryptography 37.0.4-1
python-css-parser 1.0.7-1
python-cssselect 1.1.0-9
python-dateutil 2.8.2-4
python-decorator 5.1.1-1
python-distlib 0.3.6-1
python-distro 1.7.0-1
python-dnspython 1:2.2.1-1
python-docutils 1:0.19-2
python-feedparser 6.0.10-1
python-flask 2.1.3-1
python-flask-cors 3.0.10-3
python-future 0.18.2-7
python-html2text 2020.1.16-5
python-html5-parser 0.4.10-3
python-html5lib 1.1-11
python-idna 3.3-4
python-ifaddr 0.2.0-1
python-importlib-metadata 4.8.3-1
python-inflate64 0.1.3-1
python-inflect 6.0.0-1
python-itsdangerous 2.1.2-2
python-jaraco.context 4.1.2-1
python-jaraco.functools 3.5.1-1
python-jaraco.text 3.9.1-1
python-jeepney 0.8.0-1
python-jinja 1:3.1.2-2
python-jsonpointer 2.3-1
python-jsonschema 4.15.0-1
python-lxml 4.9.1-1
python-markdown 3.4.1-1
python-markupsafe 2.1.1-1
python-mechanize 1:0.4.8-1
python-more-itertools 8.13.0-2
python-msgpack 1.0.4-1
python-multivolumefile 0.2.3-3
python-mypy-protobuf 2.9-1
python-mypy_extensions 0.4.3-5
python-netifaces 0.11.0-3
python-nspektr 0.4.0-2
python-ordered-set 4.1.0-1
python-orjson 3.8.0-1
python-packaging 21.3-1
python-pdftotext 2.2.2-3
python-pep517 0.13.0-1
python-pillow 9.2.0-1
python-pip 22.2.2-2
python-platformdirs 2.5.2-1
python-ply 3.11-10
python-polib 1.1.1-1
python-protobuf 21.5-1
python-psutil 5.9.1-1
python-py7zr 0.19.0-1
python-pyaudio 0.2.12-1
python-pybcj 1.0.1-1
python-pychm 0.8.6-6
python-pycparser 2.21-3
python-pycryptodome 3.15.0-1
python-pycryptodomex 3.12.0-1
python-pydantic 1.10.2-1
python-pygments 2.13.0-1
python-pyopenssl 22.0.0-1
python-pyparsing 3.0.9-1
python-pyppmd 1.0.0-1
python-pypubsub 4.0.3-4
python-pyqt5 5.15.7-1
python-pyqt5-sip 12.11.0-1
python-pyqt5-webengine 5.15.6-1
python-pyqt6 6.3.1-1
python-pyqt6-sip 13.4.0-1
python-pyqt6-webengine 6.3.1-1
python-pyrsistent 0.18.1-1
python-pysocks 1.7.1-7
python-pyzstd 0.15.3-1
python-regex 2022.8.17-1
python-requests 2.28.1-1
python-resolvelib 0.8.1-1
python-rfc3987 1.3.8-8
python-rich 12.5.1-1
python-send2trash 1.8.0-3
python-setuptools 1:62.3.4-1
python-sgmllib3k 1.0.0-4
python-six 1.16.0-6
python-soupsieve 2.3.2.post1-1
python-stringcase 1.2.0-3
python-tenacity 8.0.1-3
python-texttable 1.6.4-3
python-toml 0.10.2-8
python-tomli 2.0.1-1
python-trove-classifiers 2022.8.31-1
python-typed-ast 1.5.4-1
python-typing_extensions 4.3.0-1
python-unrardll 0.1.5-1
python-urllib3 1.26.12-1
python-validate-pyproject 0.10.1-1
python-waitress 2.1.2-1
python-webcolors 1.12-1
python-webencodings 0.5.1-9
python-werkzeug 2.2.2-1
python-wheel 0.37.1-1
python-wxpython 1:4.1.1-3
python-xmltodict 0.13.0-2
python-yaml 6.0-1
python-zeroconf 0.39.0-1
python-zipp 3.8.1-1
python2 2.7.18-5
qt5-base 5.15.5+kde+r184-1
qt5-declarative 5.15.5+kde+r19-1
qt5-imageformats 5.15.5+kde+r4-1
qt5-location 5.15.5+kde+r3-1
qt5-multimedia 5.15.5+kde+r1-1
qt5-quickcontrols 5.15.5+kde+r0-1
qt5-quickcontrols2 5.15.5+kde+r6-1
qt5-svg 5.15.5+kde+r11-1
qt5-tools 5.15.5+kde+r1-3
qt5-translations 5.15.5+kde+r2-1
qt5-wayland 5.15.5+kde+r38-4
qt5-webchannel 5.15.5+kde+r3-1
qt5-webengine 5.15.10-2
qt5-x11extras 5.15.5+kde+r0-1
qt6-base 6.3.1-1
qt6-declarative 6.3.1-1
qt6-imageformats 6.3.1-1
qt6-positioning 6.3.1-1
qt6-svg 6.3.1-1
qt6-translations 6.3.1-1
qt6-webchannel 6.3.1-1
qt6-webengine 6.3.1-1
quazip-qt5 1.3-1
qutebrowser 2.5.2-1
ranger 1.9.3-4
rav1e 0.5.1-2
re2 1:20220601-1
readline 8.1.002-1
rest 0.8.1+r4+ge5ee6ef-1
rhash 1.4.2-1
rofi 1.7.5-1
rsync 3.2.5-2
rtkit 0.13-2
rubberband 3.0.0-2
run-parts 5.5-1
